Skill
Arithmetic
Loops
Classes
Recursion
Numpy
Sorting
Pandas
Strings
Matplotlib
Algorithms
TensorFlow
Scikit-Learn
Flask
Django
Seaborn
Requests
Regex
SQLite
Collections
OS
Dynamic Programming
Itertools
Decorators
JSON
Time
PIL
Functools
Socket
Threading
Graph Algorithms
Machine Learning
PostgreSQL
Geopandas
Scipy
HDF5
OpenAI Gym
Sympy
OpenCV
Pytorch
HTTP Requests
URL Parsing
Boto3
XML Parsing
LXML
Natural Language Processing
Scrapy
SQLAlchemy
Pyspark
Python
